Profile by Address
00000000 ( 42.09%:   2139) Address 0
00011008 (  0.00%:      0) WinMainCRTStartup
00011078 (  0.00%:      0) _cinit
000110d8 (  0.00%:      0) exit
000111b8 (  0.00%:      0) _exit
000111c4 (  0.00%:      0) _cexit
000111d4 (  0.00%:      0) _c_exit
000111e4 (  0.00%:      0) Output
000112b0 (  0.00%:      0) main2
000115d4 (  0.00%:      0) WinMain
00011610 (  0.00%:      0) speedtest
000117d4 (  0.00%:      0) Profile_dump
00011984 (  0.65%:     33) Profile_init
00011a60 (  0.00%:      0) oggpack_eop
00011a74 (  0.00%:      0) oggpack_bytes
00011aa4 (  1.10%:     56) oggpack_bits
00011ae0 (  2.48%:    126) oggpack_look
00011c04 (  0.02%:      1) oggpack_adv
00011c8c (  0.00%:      0) oggpack_readinit
00011cc4 (  0.04%:      2) oggpack_read
00011e58 (  0.00%:      0) _ilog
00012728 (  0.02%:      1) _book_maptype1_quantvals
000127a8 (  0.00%:      0) vorbis_book_clear
000127e8 (  0.33%:     17) vorbis_book_unpack
00013008 (  0.00%:      0) vorbis_book_decode
00013020 (  0.00%:      0) vorbis_book_decodevs_add
000130c8 (  0.00%:      0) vorbis_book_decodev_add
00013160 (  0.00%:      0) vorbis_book_decodev_set
00013238 (  2.77%:    141) decode_packed_entry_number_REALSTART
00013264 (  9.41%:    478) decode_packed_entry_number
0001341c (  5.51%:    280) decode_map
000135bc (  5.31%:    270) vorbis_book_decodevv_add
0001364c (  3.31%:    168) _checksum
000136ac (  0.00%:      0) vorbis_dsp_restart
00013714 (  0.00%:      0) vorbis_dsp_create
000137c8 (  0.02%:      1) vorbis_dsp_destroy
00013918 (  0.06%:      3) vorbis_dsp_pcmout
00013a44 (  0.00%:      0) vorbis_dsp_read
00013a84 (  0.00%:      0) vorbis_packet_blocksize
00013b04 (  0.04%:      2) vorbis_dsp_synthesis
00013f04 (  0.00%:      0) floor0_free_info
00013f10 (  0.00%:      0) floor0_info_unpack
00014020 (  0.00%:      0) floor0_memosize
0001402c (  0.00%:      0) floor0_inverse1
00014188 (  0.00%:      0) vorbis_lsp_to_curve
000147ec (  0.00%:      0) floor0_inverse2
00014880 (  0.00%:      0) floor1_free_info
00014938 (  0.12%:      6) floor1_info_unpack
00014fc8 (  0.12%:      6) render_point
00015014 (  0.00%:      0) floor1_memosize
0001501c (  0.85%:     43) floor1_inverse1
00015308 (  1.20%:     61) floor1_inverse2
000154c4 (  0.91%:     46) render_lineARM
00015698 (  1.40%:     71) ogg_buffer_dup
00015b70 (  0.04%:      2) ogg_page_version
00015bb0 (  0.00%:      0) ogg_page_continued
00015bf0 (  0.00%:      0) ogg_page_bos
00015c30 (  0.04%:      2) ogg_page_eos
00015c70 (  0.08%:      4) ogg_page_granulepos
00015d38 (  0.06%:      3) ogg_page_serialno
00015d78 (  0.00%:      0) ogg_page_pageno
00015db8 (  0.00%:      0) ogg_page_packets
00015e1c (  0.00%:      0) ogg_sync_create
00015e70 (  0.00%:      0) ogg_sync_reset
00015ea0 (  0.02%:      1) ogg_sync_destroy
00015ef8 (  0.22%:     11) ogg_sync_bufferin
00015fb4 (  0.16%:      8) ogg_sync_wrote
00016010 (  0.02%:      1) ogg_page_release
00016050 (  0.33%:     17) ogg_sync_pageseek
00016304 (  0.00%:      0) ogg_sync_pageout
0001634c (  0.00%:      0) ogg_stream_create
00016370 (  0.04%:      2) ogg_stream_destroy
00016410 (  0.08%:      4) ogg_stream_pagein
000164f8 (  0.00%:      0) ogg_stream_reset
0001656c (  0.00%:      0) ogg_stream_reset_serialno
